Term / Paper,Question,Topic,Subtopic,Marks
December 2021,Find the CRC for the given data polynomial using the given generator polynomial.,Data Link Layer and Error Control,CRC,3
December 2021,Define LAN and explain its typical characteristics.,"LAN, Ethernet and Wireless Networks",LAN characteristics,5
December 2021,Explain transmission delay and propagation delay.,Data Communication Fundamentals,Transmission and propagation delays,4
December 2021,Differentiate congestion control and flow control.,"Traffic Management, WSN, MANET and IoT",Congestion and flow control,4
December 2021,Compare Layer 2 and Layer 3 switches.,Switching and Internetworking,Switching,5
December 2021,Explain RSA key generation algorithm with an example.,Network Security and Cryptography,RSA,6
December 2021,Explain QAM and draw the 8-QAM constellation.,Data Communication Fundamentals,Digital modulation,7
December 2021,Draw the IPv4 header and explain the significance of flags.,Network Layer and Routing,IPv4 addressing and datagram,6
December 2021,"Identify AM, FM and radar frequency bands and relate tower height to repeater distance.",Data Communication Fundamentals,Transmission media and frequency,5
December 2021,Explain why PAM is prerequisite to PCM and find minimum sampling interval for 1 kHz.,Data Communication Fundamentals,Sampling and PCM,5
December 2021,Explain circuit switching and packet switching with an example.,Switching and Internetworking,Circuit and packet switching,5
December 2021,Compare star and tree network topologies.,"LAN, Ethernet and Wireless Networks",Network topologies,5
December 2021,Define Hamming code and determine redundant bits and positions for 7-bit data.,Data Link Layer and Error Control,Error detection and correction,5
December 2021,Define pure ALOHA and calculate slotted ALOHA throughput.,Data Link Layer and Error Control,ALOHA,5
December 2021,Discuss IEEE 802.11 protocol.,"LAN, Ethernet and Wireless Networks",IEEE 802.11,10
December 2021,Explain steps in connection establishment and termination for connection-oriented services.,Transport Layer and Network Services,Connection-oriented services,5
December 2021,Explain Dijkstra's shortest-path algorithm and find the best route from A to E.,Network Layer and Routing,Dijkstra's algorithm,10
December 2021,Explain IP address classes and rules for determining the address class.,Network Layer and Routing,IP addressing,5
December 2021,Define multiplexing and illustrate upward multiplexing.,Data Communication Fundamentals,Multiplexing,5
December 2021,Discuss digital certificate contents and importance.,Network Security and Cryptography,Digital certificates,5
December 2021,Explain RPC with a suitable diagram.,Transport Layer and Network Services,RPC,10
June 2022,Define CRC and write the given bitstring in polynomial representation.,Data Link Layer and Error Control,CRC,4
June 2022,Explain Wireless LANs and disadvantages of radio transmitters.,"LAN, Ethernet and Wireless Networks",Wireless LAN,5
June 2022,Define transmission media and compare optical fiber with copper wire.,Data Communication Fundamentals,Transmission media,5
June 2022,Define burst error and explain how burst errors can be corrected.,Data Link Layer and Error Control,Error detection and correction,5
June 2022,Explain the three types of internetwork addresses with examples.,Network Layer and Routing,Internetwork addressing,5
June 2022,Explain Diffie-Hellman key generation and generate RSA public and private keys using 7 and 11.,Network Security and Cryptography,Diffie-Hellman and RSA,6
June 2022,Differentiate PSK and FSK and explain quantization.,Data Communication Fundamentals,Digital modulation and quantization,5
June 2022,Draw IPv4 header and explain the significance of fragment offset.,Network Layer and Routing,IPv4 addressing and datagram,5
June 2022,Explain digital-to-digital encoding with an example.,Data Communication Fundamentals,Digital encoding,5
June 2022,Explain WAN characteristics and compare client-server with peer-to-peer architecture.,Switching and Internetworking,WAN and network architecture,10
June 2022,Explain the importance of multiplexing and list basic techniques.,Data Communication Fundamentals,Multiplexing,5
June 2022,Define checksum and explain sliding window protocol.,Data Link Layer and Error Control,Checksum and sliding window,5
June 2022,Explain pipelining and stop-and-wait ARQ when ACK is lost.,Data Link Layer and Error Control,ARQ and pipelining,5
June 2022,Discuss CSMA and CSMA/CD and explain IEEE 802.3 Ethernet frame format.,"LAN, Ethernet and Wireless Networks",CSMA and Ethernet,5
June 2022,Explain Spanning Tree and Source Routing Bridges.,"LAN, Ethernet and Wireless Networks",Bridges,5
