Term / Paper,Question,Topic,Subtopic,Marks
December 2025,Verify whether [(p → q) ∧ ~q] → ~p is a tautology.,Logic and Mathematical Reasoning,Tautology and contradiction,5
December 2025,Show that √17 is irrational.,Logic and Mathematical Reasoning,Proof by contradiction,5
December 2025,Construct a logic circuit and truth table for the given expression.,Boolean Algebra and Logic Circuits,Logic circuits and truth tables,5
December 2025,Describe symmetric difference of two sets with an example and Venn diagram.,"Sets, Relations and Functions",Set operations,5
December 2025,Define Kleene closure and find it for the given alphabets.,Formal Languages and Finite Automata,Kleene closure,5
December 2025,Differentiate permutation and combination; find circular arrangements of 9 persons.,"Counting, Probability and Combinatorics",Permutations and combinations,5
December 2025,State the Generalized Pigeonhole Principle.,Pigeonhole and Inclusion-Exclusion Principles,Generalized Pigeonhole Principle,5
December 2025,Solve the given recurrence relation and show the closed form.,Recurrence Relations and Algorithms,Recurrence relations,5
December 2025,State and prove the Handshaking Theorem.,Graph Theory,Handshaking theorem,7
December 2025,"Describe walk, path, circuit and cycle with examples.",Graph Theory,"Paths, circuits and cycles",8
December 2025,"Determine whether a subgraph of a bipartite graph is bipartite, with reasons.",Graph Theory,Bipartite graphs,5
December 2025,Differentiate Eulerian graph and Eulerian circuit and produce an Eulerian circuit.,Graph Theory,Eulerian graphs,7
December 2025,Is a Hamiltonian graph Eulerian? Give reasons.,Graph Theory,Hamiltonian graphs,5
December 2025,Define Hamiltonian graphs and explain Dirac's and Ore's criteria.,Graph Theory,Hamiltonian graphs and criteria,8
December 2025,Use mathematical induction to prove 2^n > n^3 for n ≥ 10.,Logic and Mathematical Reasoning,Mathematical induction,8
December 2025,Find the inverse of the given function.,"Sets, Relations and Functions",Inverse functions,6
December 2025,Define P and NP complexity classes with examples.,Turing Machines and Computability,P and NP classes,6
December 2025,"Prepare a state transition table, derive the regular expression, and test the given string.",Formal Languages and Finite Automata,Finite automata and regular expressions,5
December 2025,"Write short notes on vertex colouring, Inclusion-Exclusion, undecidable problem, Mealy machines and symmetric relations.",Graph Theory,Graph coloring,3
December 2025,Write a short note on the Inclusion-Exclusion Principle.,Pigeonhole and Inclusion-Exclusion Principles,Inclusion-Exclusion Principle,3
December 2025,Write a short note on undecidable problem.,Turing Machines and Computability,Undecidable problems,3
December 2025,Write a short note on Mealy machines.,Formal Languages and Finite Automata,Mealy machines,3
December 2025,Write a short note on symmetric relations.,"Sets, Relations and Functions",Relations,3
June 2025,Create a truth table for the given logical expression.,Logic and Mathematical Reasoning,Truth tables,5
June 2025,"Using contradiction, prove that √3 is irrational.",Logic and Mathematical Reasoning,Proof by contradiction,5
June 2025,Find the symmetric difference of M and N.,"Sets, Relations and Functions",Set operations,5
June 2025,Construct a DFA accepting the complement of a language recognized by a DFA.,Formal Languages and Finite Automata,DFA,5
June 2025,Solve T(n)=2T(n−1)−1 with T(1)=3.,Recurrence Relations and Algorithms,Recurrence relations,5
June 2025,"Arrange ALGORITHM so that vowels A,O,I are together.","Counting, Probability and Combinatorics",Permutations and combinations,5
June 2025,Color the given 5-cycle using three colors so adjacent vertices differ.,Graph Theory,Graph coloring,5
June 2025,Determine whether K5 is Eulerian and explain.,Graph Theory,Eulerian graphs,5
June 2025,Explain Kleene closure with an example.,Formal Languages and Finite Automata,Kleene closure,5
June 2025,State five laws of Boolean algebra.,Boolean Algebra and Logic Circuits,Boolean algebra laws,5
June 2025,Find the recurrence relation for the number of rounds in a knockout tournament.,Recurrence Relations and Algorithms,Recurrence relations,5
June 2025,Determine whether the given bipartite graph is complete.,Graph Theory,Bipartite graphs,5
June 2025,Prove the given logical equivalence.,Logic and Mathematical Reasoning,Logical equivalence,5
June 2025,Describe chromatic number and find it for the given graph.,Graph Theory,Graph coloring,5
June 2025,Write short notes on Euler graph and Hamiltonian graph.,Graph Theory,Eulerian graphs,5
June 2025,"Count 2-digit even numbers from 1,2,3,4,5 with repetition allowed.","Counting, Probability and Combinatorics",Counting principles,5
June 2025,Prove the two De Morgan laws using truth tables.,Boolean Algebra and Logic Circuits,De Morgan's laws,5
June 2025,"Explain paths, circuits, cycles and spanning trees with examples.",Graph Theory,"Paths, circuits and cycles",10
June 2025,Explain Mealy and Moore machines with examples.,Formal Languages and Finite Automata,Mealy and Moore machines,5
June 2025,Explain the implication of an algorithm not running on a Turing Machine for arbitrary space and time.,Turing Machines and Computability,Computability,5
June 2025,Generate the recurrence relation for Fibonacci series and find first five terms.,Recurrence Relations and Algorithms,Recurrence relations,10
December 2024,Prove √2 is irrational using contradiction.,Logic and Mathematical Reasoning,Proof by contradiction,5
December 2024,Construct a truth table for the given expression.,Logic and Mathematical Reasoning,Truth tables,5
December 2024,Explain complement of a set and find the complement of the even integers.,"Sets, Relations and Functions",Set operations,5
December 2024,"Build a finite automaton accepting baa, ab and abb only and write its regular expression.",Formal Languages and Finite Automata,Finite automata and regular expressions,5
December 2024,Verify by induction the solution of T(n)=2T(n−1)+1.,Recurrence Relations and Algorithms,Mathematical induction,5
December 2024,Arrange 5 red and 3 blue balls in a row.,"Counting, Probability and Combinatorics",Permutations and combinations,5
December 2024,State and prove Handshaking theorem.,Graph Theory,Handshaking theorem,5
December 2024,Determine whether C5 is Hamiltonian.,Graph Theory,Hamiltonian graphs,5
December 2024,"Find Kleene closure of L={a,aa,aaa}.",Formal Languages and Finite Automata,Kleene closure,5
December 2024,State Pigeonhole Principle and distinguish it from the Generalized Pigeonhole Principle.,Pigeonhole and Inclusion-Exclusion Principles,Pigeonhole Principle,5
December 2024,Differentiate Turing Acceptable and Turing Decidable languages.,Turing Machines and Computability,Turing acceptable and decidable languages,5
December 2024,Define bipartite graph and find its maximum possible edges for the given partition.,Graph Theory,Bipartite graphs,5
December 2024,Prove equivalence of the two propositions about good and cheap mobile phones.,Logic and Mathematical Reasoning,Logical equivalence,5
December 2024,Prove the given logical equivalence.,Logic and Mathematical Reasoning,Logical equivalence,5
December 2024,Describe vertex colouring and find chromatic number.,Graph Theory,Graph coloring,5
December 2024,Write short notes on planar graph and isomorphism.,Graph Theory,Planar graphs and isomorphism,5
December 2024,Count signals made from 6 differently coloured flags using 2 flags in sequence.,"Counting, Probability and Combinatorics",Permutations and combinations,5
December 2024,Differentiate predicate and propositional logic and give De Morgan laws for both.,Logic and Mathematical Reasoning,Predicate logic,5
December 2024,Design a Boolean circuit for the given truth table.,Boolean Algebra and Logic Circuits,Logic circuits and truth tables,4
December 2024,Differentiate Eulerian and Hamiltonian graphs and give Dirac and Ore criteria.,Graph Theory,Eulerian and Hamiltonian graphs,6
December 2024,Explain nondeterministic finite automata and Kleene closure.,Formal Languages and Finite Automata,NFA and Kleene closure,5
December 2024,Verify the proposed solution of the recurrence relation.,Recurrence Relations and Algorithms,Recurrence relations,5
December 2024,Write notes on undecidable problem and halting problem.,Turing Machines and Computability,Undecidable and halting problems,10
June 2023,Apply precedence rules and write the truth table for the expression.,Logic and Mathematical Reasoning,Truth tables,4
June 2023,Compare predicate and propositional logic and write De Morgan laws for both.,Logic and Mathematical Reasoning,Predicate logic,4
June 2023,Prove the given logical equivalence without a truth table.,Logic and Mathematical Reasoning,Logical equivalence,4
June 2023,State the principle of optimality and its satisfiability condition.,Recurrence Relations and Algorithms,Dynamic programming,4
June 2023,Explain Disjunctive Normal Form with an example.,Logic and Mathematical Reasoning,DNF and CNF,4
June 2023,Find composition of the given functions and f/g.,"Sets, Relations and Functions",Function composition,4
June 2023,Define regular expression and give rules for developing one.,Formal Languages and Finite Automata,Regular expressions,4
June 2023,Discuss Turing Acceptable and Turing Decidable languages.,Turing Machines and Computability,Turing acceptable and decidable languages,4
June 2023,Choose two persons as Chairman and Vice-Chairman from 35 people.,"Counting, Probability and Combinatorics",Permutations and combinations,4
June 2023,Use induction to show the iterative expression for the recursive recurrence.,Recurrence Relations and Algorithms,Mathematical induction,4
June 2023,Represent propositions and their negations using logical quantifiers.,Logic and Mathematical Reasoning,Quantifiers,8
June 2023,Write pseudocode for Floyd-Warshall and discuss its working and best case.,Recurrence Relations and Algorithms,Floyd-Warshall algorithm,7
June 2023,Draw the logical circuit and truth table for the expression.,Boolean Algebra and Logic Circuits,Logic circuits and truth tables,5
June 2023,Differentiate function and relation; determine whether every relation is a function.,"Sets, Relations and Functions",Relations and functions,5
